Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,State of the Building_Numeric,PEB_Numeric,Province_Numeric,Type of Property_Numeric,Subtype of Property_Grouped,Subtype of Property_Grouped_Numeric
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,895000.0,3.0,220,1,0,0,0,0.0,0,0.0,0,0.0,2.0,E,251.0,Good,4,5,1,0,Apartments,1
Libramont-chevigny,6800,Province of Luxembourg,House,house,390000.0,3.0,184,1,0,0,0,0.0,0,0.0,0,897.0,3.0,A,75.0,Not specified,7,1,8,1,Houses,2
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,225000.0,1.0,72,1,0,0,0,0.0,0,0.0,0,0.0,2.0,G,419.0,To renovate,2,7,1,0,Apartments,1
Blankenberge,8370,Province of West Flanders,Apartment,apartment,150000.0,2.0,67,0,0,0,0,0.0,0,0.0,0,0.0,0.0,C,253.0,To be done up,3,3,4,0,Apartments,1
Aalst,9308,Province of East Flanders,House,villa,830000.0,6.0,382,1,0,0,1,215.0,1,4162.0,1,5055.0,4.0,C,212.0,Good,4,3,3,1,Luxury Properties,4
Brasschaat,2930,Province of Antwerp,House,house,674000.0,3.0,211,1,0,0,0,0.0,0,0.0,0,502.0,3.0,C,204.0,As new,6,3,2,1,Houses,2
Libramont-chevigny,6800,Province of Luxembourg,House,house,390000.0,3.0,184,1,0,0,0,0.0,0,0.0,0,930.0,3.0,A,75.0,Not specified,7,1,8,1,Houses,2
Sint-jans-molenbeek,1080,Brussels-Capital Region,Apartment,apartment,230000.0,2.0,80,1,0,0,0,0.0,0,0.0,0,0.0,0.0,C,104.0,Good,4,3,1,0,Apartments,1
Marche-en-famenne,6900,Province of Luxembourg,Apartment,apartment,155000.0,1.0,63,0,0,0,0,0.0,0,0.0,0,0.0,2.0,D,320.0,As new,6,4,8,0,Apartments,1
Halle,1500,Province of Flemish Brabant,House,house,530000.0,3.0,232,0,0,0,0,0.0,0,0.0,1,538.0,4.0,B,146.0,As new,6,2,5,1,Houses,2
Ledeberg,9050,Province of East Flanders,House,house,645000.0,3.0,239,1,0,0,0,0.0,0,0.0,0,122.0,0.0,B,181.0,Good,4,2,3,1,Houses,2
Uccle,1180,Brussels-Capital Region,Apartment,penthouse,990000.0,4.0,203,1,0,0,1,100.0,0,0.0,0,0.0,0.0,G,538.0,As new,6,7,1,0,Apartments,1
Oosterzele,9860,Province of East Flanders,House,house,430200.0,4.0,184,1,0,0,0,0.0,0,0.0,0,389.0,3.0,Not specified,317.0,Good,4,8,3,1,Houses,2
Zoersel,2980,Province of Antwerp,House,house,625000.0,4.0,258,1,0,0,0,0.0,0,0.0,0,1288.0,4.0,C,233.0,Good,4,3,2,1,Houses,2
Bruxelles,1120,Brussels-Capital Region,Apartment,apartment,239000.0,2.0,80,1,0,0,1,2.0,0,0.0,0,0.0,2.0,D,153.0,Good,4,4,1,0,Apartments,1
Izegem,8870,Province of West Flanders,House,house,645000.0,5.0,534,0,0,0,0,0.0,0,0.0,0,665.0,4.0,C,281.0,Good,4,3,4,1,Houses,2
Oostende,8400,Province of West Flanders,Apartment,apartment,155000.0,1.0,52,0,0,0,0,0.0,0,0.0,0,0.0,0.0,C,223.0,Good,4,3,4,0,Apartments,1
Antwerpen,2140,Province of Antwerp,House,mansion,650000.0,4.0,240,1,0,0,1,14.0,1,25.0,0,140.0,2.0,B,317.0,As new,6,2,2,1,Luxury Properties,4
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,995000.0,4.0,226,1,0,0,1,2.0,0,0.0,0,0.0,2.0,G,456.0,Good,4,7,1,0,Apartments,1
Heist-op-den-berg,2220,Province of Antwerp,House,house,1195000.0,3.0,289,1,0,0,0,0.0,0,0.0,1,430.0,0.0,B,317.0,As new,6,2,2,1,Houses,2
Evere,1140,Brussels-Capital Region,Apartment,apartment,260000.0,2.0,82,1,0,0,0,0.0,0,0.0,0,0.0,2.0,E,219.0,Good,4,5,1,0,Apartments,1
Herent,3020,Province of Flemish Brabant,House,house,645000.0,4.0,230,1,0,0,0,0.0,0,0.0,0,841.0,4.0,C,262.0,Good,4,3,5,1,Houses,2
Hasselt,3500,Province of Limburg,Apartment,apartment,975000.0,0.0,359,0,0,0,0,0.0,0,0.0,0,0.0,0.0,A,90.0,As new,6,1,11,0,Apartments,1
Begijnendijk,3130,Province of Flemish Brabant,House,house,449000.0,3.0,150,1,0,0,0,0.0,0,0.0,0,402.0,3.0,A,317.0,As new,6,1,5,1,Houses,2
Geraardsbergen,9500,Province of East Flanders,House,exceptional-property,685000.0,5.0,389,1,0,0,0,0.0,1,3865.0,0,4551.0,4.0,D,386.0,Not specified,7,4,3,1,Luxury Properties,4
Lebbeke,9280,Province of East Flanders,House,house,675000.0,0.0,205,0,0,0,0,0.0,0,0.0,0,2074.0,0.0,F,510.0,To renovate,2,6,3,1,Houses,2
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,1100000.0,3.0,237,1,0,0,1,134.0,1,150.0,0,0.0,0.0,D,175.0,As new,6,4,1,0,Apartments,1
Antwerpen,2018,Province of Antwerp,House,mansion,849000.0,5.0,375,1,0,0,0,0.0,1,70.0,0,176.0,2.0,C,269.0,Good,4,3,2,1,Luxury Properties,4
Aywaille,4920,Province of Liège,House,farmhouse,319000.0,5.0,152,1,0,0,0,0.0,0,0.0,0,2454.0,3.0,G,317.0,To renovate,2,7,6,1,Houses,2
Geraardsbergen,9506,Province of East Flanders,House,exceptional-property,685000.0,5.0,389,1,0,0,0,0.0,1,3865.0,0,4551.0,4.0,D,386.0,Not specified,7,4,3,1,Luxury Properties,4
Brugge,8000,Province of West Flanders,Apartment,penthouse,1130000.0,3.0,281,1,0,0,1,176.0,1,176.0,0,0.0,3.0,B,130.0,Good,4,2,4,0,Apartments,1
Seneffe,7180,Province of Hainaut,Apartment,apartment,289000.0,4.0,109,1,0,0,0,0.0,0,0.0,0,0.0,2.0,Not specified,17.0,Good,4,8,9,0,Apartments,1
Arendonk,2370,Province of Antwerp,House,villa,945000.0,6.0,434,0,0,0,0,0.0,0,0.0,0,2176.0,4.0,B,142.0,As new,6,2,2,1,Luxury Properties,4
Oostende,8400,Province of West Flanders,Apartment,flat-studio,168000.0,1.0,30,0,0,0,0,0.0,0,0.0,0,0.0,0.0,C,217.0,Good,4,3,4,0,Apartments,1
Assebroek,8310,Province of West Flanders,Apartment,penthouse,1130000.0,3.0,281,1,0,0,1,176.0,1,176.0,0,0.0,3.0,B,130.0,Good,4,2,4,0,Apartments,1
Genk,3600,Province of Limburg,House,house,719000.0,5.0,315,1,0,0,0,0.0,0,0.0,0,1950.0,4.0,C,248.0,Good,4,3,11,1,Houses,2
Ecaussinnes,7190,Province of Hainaut,Apartment,apartment,289000.0,4.0,109,1,0,0,0,0.0,0,0.0,0,0.0,2.0,Not specified,17.0,Good,4,8,9,0,Apartments,1
Gent,9000,Province of East Flanders,Apartment,apartment,465000.0,4.0,169,1,0,0,0,0.0,0,0.0,0,0.0,2.0,B,156.0,Not specified,7,2,3,0,Apartments,1
Leuven,3000,Province of Flemish Brabant,House,house,2150000.0,9.0,250,1,1,0,0,0.0,0,0.0,0,145.0,0.0,B,122.0,As new,6,2,5,1,Houses,2
Antwerpen,2000,Province of Antwerp,Apartment,apartment,169000.0,1.0,57,1,0,0,0,0.0,0,0.0,0,0.0,2.0,E,414.0,To be done up,3,5,2,0,Apartments,1
